	tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
150719	tt10545696	movie	Maigret	2022	89	Crime,Drama	5.9	2146
150720	tt10545704	movie	Farewell, Mr. Haffmann	2021	115	Drama	7.0	2128
150721	tt1054580	movie	Desert Flower	2009	120	Biography,Drama	7.3	13658
150724	tt1054588	movie	Flash of Genius	2008	119	Biography,Drama	7.0	17437
150728	tt1054606	movie	The Imaginarium of Doctor Parnassus	2009	123	Adventure,Comedy,Fantasy	6.8	151485
150733	tt1054631	movie	House Broken	2010	84	Comedy	4.6	2325
150738	tt1054677	movie	The Best Things in the World	2010	100	Comedy,Drama	7.2	1629
150744	tt10549312	movie	Baba Parasi	2020	116	Comedy	4.6	3386
150746	tt10550884	movie	The Divine Fury	2019	129	Action,Horror,Thriller	6.3	3648
150749	tt10551118	movie	Zombie Tidal Wave	2019	86	Action,Adventure,Comedy	3.8	1255
150760	tt10551608	movie	Thanneermathan Dinangal	2019	136	Comedy,Romance	7.8	3201
150761	tt10551904	movie	Dear Mother	2020	98	Comedy	5.8	1698
150764	tt1055292	movie	Life as We Know It	2010	115	Comedy,Drama,Romance	6.5	135168
150765	tt1055300	movie	Painted Skin	2008	103	Action,Drama,Fantasy	6.3	5088
150768	tt10553210	movie	Dreamkatcher	2020	85	Horror,Thriller	3.8	2302
150776	tt1055369	movie	Transformers: Revenge of the Fallen	2009	149	Action,Adventure,Sci-Fi	5.9	413746
150780	tt10554196	movie	Pungo: A Witch's Tale	2020	102	Fantasy	4.3	1771
150781	tt10554232	movie	Dara of Jasenovac	2020	130	Drama,War	8.1	81368
150789	tt10556022	movie	Unpregnant	2020	103	Comedy,Drama	6.5	8838
150790	tt10556036	movie	Jiivi	2019	122	Drama,Thriller	7.7	1868
150794	tt10556320	movie	Sator	2019	85	Horror	5.1	2474
150810	tt10559102	movie	Supercell	2023	100	Action,Adventure,Drama	4.3	1018
150820	tt1056067	movie	A Perfect Day	2008	105	Drama	6.4	1597
150850	tt10563420	movie	The Deeper You Dig	2019	95	Drama,Horror	5.6	2261
150855	tt1056416	movie	Sexy Killer: You'll Die for Her	2008	100	Comedy,Horror,Sci-Fi	5.7	1608
150864	tt1056437	movie	The Sky Crawlers	2008	122	Animation,Drama,Sci-Fi	6.7	5752
150872	tt1056467	movie	Dying God	2008	125	Horror,Sci-Fi,Thriller	2.8	1086
150892	tt10569922	movie	Bunty Aur Babli 2	2021	138	Comedy,Romance	4.1	4192
150894	tt10570206	movie	Stalker: The Curse of the Zone	2019	173	Drama,Mystery,Sci-Fi	6.1	1318
150909	tt1057500	movie	Invictus	2009	134	Action,Adventure,Biography	7.3	163120
150919	tt1057581	movie	How to Be	2008	85	Comedy,Drama	5.3	3944
150952	tt10579952	movie	Master	2021	179	Action,Crime,Thriller	7.3	78783
150954	tt10579992	movie	Mister America	2019	89	Comedy	6.4	1520
150956	tt1058008	movie	Sick Nurses	2007	82	Crime,Horror	5.1	1945
150961	tt1058017	movie	The Invention of Lying	2009	100	Comedy,Fantasy,Romance	6.3	144327
151019	tt1058601	movie	Buddenbrooks	2008	151	Drama	5.9	1542
151025	tt1058743	movie	Pretty Bird	2008	120	Comedy	5.0	1164
151033	tt10588750	movie	Doraemon the Movie: Nobita's New Dinosaur	2020	110	Adventure,Animation,Comedy	7.1	1149
151037	tt10589914	movie	The Forest of Love	2019	151	Crime,Drama,Horror	6.3	2739
151046	tt10590458	movie	Don't Speak	2020	83	Horror,Sci-Fi,Thriller	3.3	1244
151049	tt10590530	movie	Psy 3: W imie zasad	2020	126	Action,Crime,Drama	6.2	1394
151057	tt10592082	movie	Parineeta	2019	115	Romance	7.3	1526
151078	tt10594792	movie	Mafia: Chapter 1	2020	113	Action,Crime,Drama	5.9	1701
151089	tt1059773	movie	The Adventures of Food Boy	2008	90	Comedy,Fantasy	3.8	1053
151093	tt1059786	movie	Eagle Eye	2008	118	Action,Mystery,Thriller	6.6	190571
151102	tt10598156	movie	Dhaakad	2022	135	Action,Thriller	3.9	11824
151107	tt1059836	movie	Transit	2012	88	Action,Crime,Thriller	5.7	11463
151108	tt1059887	movie	The Legend of Awesomest Maximus	2011	90	Action,Comedy	4.1	3250
151117	tt1059925	movie	According to Greta	2009	92	Drama,Romance	6.1	10142
